DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2020/12/08 19:55:08,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,3,2.3,0.1,-3.39,-52.39,
2020/12/07 17:35:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.3,0.5,-3.39,-52.06,
2020/12/11 20:35:04,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 20:15:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 20:05:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 20:45:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 20:25:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 19:45:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 19:55:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 19:35:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.5,-3.52,-52.14,
2020/12/11 18:45:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.1,0.6,-3.13,-52.34,
2020/12/12 20:55:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.1,0.6,-3.42,-52.43,
2020/12/16 20:44:34,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.0,-8.4,-54.92,
2020/12/16 21:04:34,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.0,-8.4,-54.92,
2020/12/16 20:54:33,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.0,-8.4,-54.92,
2020/12/16 20:34:33,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.0,-8.4,-54.92,
2020/12/20 19:34:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,2.3,0.3,-8.65,-55.05,
2020/11/01 21:05:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 21:05:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.04,
2020/11/01 21:05:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 21:05:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.04,
2020/11/01 21:45:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.37,-52.1,
2020/11/02 21:05:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,2.2,0.2,-3.37,-52.12,
2020/11/02 20:35:02,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,1.1,1.0,-4.16,-53.65,
2020/11/02 20:25:01,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,1.1,1.0,-4.16,-53.65,
2020/11/02 16:55:02,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.2,0.0,-3.89,-52.33,
2020/11/02 16:55:02,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.1,0.0,-3.89,-52.31,
2020/11/01 20:45:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 20:45:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 20:35:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 20:35:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 21:35:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 21:25:08,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 21:15:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 21:35:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 21:25:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 21:15:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 20:55:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
