"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/01/2020";"0000";"23,1";"23,2";"23,1";"98,0";"98,0";"98,0";"22,8";"22,8";"22,7";"990,7";"990,7";"989,6";"0,6";"97,0";"1,7";"";"2,6"
"03/01/2020";"0100";"23,2";"23,2";"23,1";"98,0";"98,0";"98,0";"22,8";"22,8";"22,7";"991,7";"991,7";"990,7";"0,5";"72,0";"1,6";"";"2,8"
"03/01/2020";"0200";"23,2";"23,3";"23,1";"98,0";"98,0";"98,0";"22,9";"22,9";"22,7";"991,9";"991,9";"991,6";"0,4";"218,0";"1,5";"";"1,8"
"03/01/2020";"0300";"23,2";"23,3";"23,1";"98,0";"98,0";"98,0";"22,8";"22,9";"22,7";"991,4";"991,9";"991,2";"0,6";"249,0";"1,2";"";"1,2"
"03/01/2020";"0400";"23,0";"23,2";"22,9";"98,0";"98,0";"98,0";"22,6";"22,8";"22,6";"990,7";"991,4";"990,7";"0,6";"181,0";"1,2";"";"0,4"
"03/01/2020";"0500";"22,8";"23,0";"22,8";"98,0";"98,0";"98,0";"22,5";"22,7";"22,5";"990,1";"990,7";"990,1";"0,3";"302,0";"0,9";"";"0,0"
"03/01/2020";"0600";"22,8";"23,0";"22,8";"98,0";"98,0";"98,0";"22,5";"22,7";"22,5";"989,6";"990,1";"989,6";"0,2";"62,0";"1,0";"";"0,0"
"03/01/2020";"0700";"22,7";"22,9";"22,7";"98,0";"98,0";"98,0";"22,4";"22,6";"22,4";"989,8";"989,8";"989,6";"0,2";"97,0";"0,5";"";"0,0"
"03/01/2020";"0800";"22,8";"22,9";"22,7";"98,0";"98,0";"98,0";"22,5";"22,6";"22,4";"989,9";"989,9";"989,6";"0,3";"232,0";"0,8";"";"0,0"
"03/01/2020";"0900";"22,9";"22,9";"22,8";"98,0";"98,0";"98,0";"22,6";"22,6";"22,5";"990,5";"990,5";"989,9";"0,2";"184,0";"1,0";"";"0,2"
"03/01/2020";"1000";"23,1";"23,1";"22,9";"98,0";"98,0";"98,0";"22,8";"22,8";"22,6";"991,3";"991,3";"990,5";"0,3";"336,0";"0,8";"11,40";"0,0"
"03/01/2020";"1100";"22,8";"23,1";"22,6";"98,0";"98,0";"98,0";"22,4";"22,8";"22,2";"992,3";"992,3";"991,3";"1,0";"70,0";"4,9";"83,60";"1,8"
"03/01/2020";"1200";"23,4";"23,4";"22,8";"97,0";"98,0";"97,0";"22,9";"23,0";"22,4";"992,9";"992,9";"992,3";"0,6";"12,0";"3,2";"227,00";"0,0"
"03/01/2020";"1300";"23,2";"23,5";"23,2";"96,0";"97,0";"96,0";"22,6";"23,0";"22,5";"993,6";"993,6";"992,9";"1,0";"8,0";"2,5";"204,20";"0,8"
"03/01/2020";"1400";"22,8";"23,2";"22,8";"97,0";"97,0";"96,0";"22,3";"22,6";"22,2";"993,7";"993,8";"993,6";"0,8";"49,0";"3,5";"144,10";"3,6"
"03/01/2020";"1500";"23,0";"23,0";"22,7";"97,0";"97,0";"97,0";"22,5";"22,6";"22,1";"993,5";"993,7";"993,5";"0,5";"30,0";"2,8";"160,40";"5,4"
"03/01/2020";"1600";"23,5";"23,6";"22,9";"97,0";"97,0";"97,0";"23,0";"23,1";"22,4";"992,7";"993,5";"992,7";"0,7";"327,0";"2,5";"445,40";"2,2"
