DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2019/07/26 19:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,44,0.0,0.8,-7.74,-54.83,
2019/07/26 19:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,45,0.0,0.9,-7.75,-54.82,
2019/07/26 17:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,43,0.0,0.8,-7.77,-54.84,
2019/08/03 20:34:34,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,29,0.0,1.0,-8.27,-54.85,
2019/08/03 20:34:34,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,30,0.0,1.0,-8.27,-54.81,
2019/08/03 20:34:34,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,34,0.0,1.0,-8.29,-54.85,
2019/08/05 22:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,42,0.9,1.0,-8.7,-54.76,
2019/08/05 22:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,44,0.9,1.0,-8.7,-54.74,
2019/08/05 22:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,36,1.0,1.0,-8.72,-54.76,
2019/08/05 17:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,36,1.0,1.0,-8.72,-54.74,
2019/08/05 17:04:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,27,0.0,0.9,-6.52,-53.93,
2019/08/05 17:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,17,0.4,0.9,-6.68,-55.07,
2019/08/05 17:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,17,0.4,0.9,-6.68,-55.05,
2019/08/05 17:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,17,0.4,0.9,-6.7,-55.06,
2019/08/05 17:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,17,0.5,0.9,-6.7,-55.04,
2019/08/05 15:34:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,17,0.5,0.9,-6.71,-55.0,
2019/08/08 21:04:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,20,0.0,1.0,-6.68,-55.03,
2019/08/08 21:04:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,20,0.0,1.0,-6.68,-55.01,
2019/08/08 21:04:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,20,0.0,1.0,-6.68,-54.99,
2019/08/08 21:04:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,20,0.0,1.0,-6.68,-54.93,
2019/08/08 20:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,19,0.0,1.0,-6.32,-55.16,
2019/08/08 20:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.0,0.2,-6.34,-53.47,
2019/08/08 20:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,18,0.0,1.0,-6.34,-55.22,
2019/08/08 08:34:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,20,0.0,1.0,-6.62,-55.03,
2019/08/12 20:04:35,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,33,0.0,1.0,-8.25,-55.22,
2019/08/13 20:34:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,25,0.2,1.0,-6.4,-54.9,
2019/08/03 14:34:42,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,26,0.0,1.0,-7.18,-55.08,
2019/08/05 18:04:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,17,0.5,0.7,-6.32,-53.43,
2019/08/07 22:34:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,19,0.0,0.9,-6.71,-55.02,
2019/08/07 22:34:44,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,19,0.0,0.9,-6.7,-55.0,
2019/08/08 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,3,0.0,0.9,-7.79,-54.76,
2019/08/08 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,3,0.0,0.9,-7.77,-54.74,
2019/08/08 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,3,0.0,0.9,-7.77,-54.76,
2019/08/10 19:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,22,0.0,1.0,-6.34,-55.14,
2019/08/10 19:34:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,22,0.0,1.0,-6.45,-55.0,
2019/08/10 19:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,4,0.0,0.6,-6.43,-53.28,
2019/08/10 19:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,4,0.0,0.6,-6.43,-53.3,
2019/08/10 19:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,4,0.0,0.6,-6.41,-53.28,
2019/08/11 15:04:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,13,0.0,1.0,-6.23,-55.19,
2019/08/11 15:04:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,9,0.0,1.0,-6.21,-55.21,
2019/08/11 15:04:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,7,0.0,1.0,-6.19,-55.21,
2019/08/11 16:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,23,0.0,1.0,-6.62,-55.09,
2019/08/11 16:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,23,0.0,1.0,-6.6,-55.09,
2019/08/11 16:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,5,0.0,0.7,-6.6,-53.52,
2019/08/11 16:04:45,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,23,0.0,1.0,-6.58,-55.05,
2019/08/11 16:04:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,23,0.0,1.0,-6.57,-55.05,
2019/08/12 16:04:50,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,6,0.0,0.7,-5.85,-53.53,
2019/08/12 22:44:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,68,0.0,1.0,-8.83,-55.0,
2019/08/12 22:44:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,67,0.0,1.0,-8.83,-55.02,
2019/08/12 22:44:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,67,0.0,1.0,-8.83,-55.04,
2019/08/13 18:34:49,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,7,0.0,0.8,-6.11,-53.72,
2019/08/17 01:54:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,72,0.0,1.0,-8.74,-55.0,
2019/08/17 01:54:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,1.0,-7.83,-54.82,
2019/08/17 01:54:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,1.0,-7.81,-54.82,
2019/08/17 03:04:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,1.0,-7.81,-54.84,
2019/08/17 15:35:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,68,0.0,1.0,-8.72,-55.02,
2019/08/17 16:05:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,75,0.0,1.0,-8.76,-54.96,
2019/08/17 16:25:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.4,-6.41,-53.42,
2019/08/17 16:25:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,6,0.0,0.8,-6.34,-53.51,
2019/08/17 16:25:49,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,11,0.0,0.7,-6.02,-53.34,
2019/08/17 16:25:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,9,0.0,0.8,-6.17,-53.5,
2019/08/18 20:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,0.8,-6.2,-53.9,
2019/08/18 20:34:47,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,0.9,-6.2,-53.92,
2019/08/18 22:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,61,0.0,1.0,-8.63,-54.71,
2019/08/18 22:04:33,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,31,0.0,1.0,-8.55,-54.81,
2019/08/18 21:44:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,0.9,-6.34,-53.55,
2019/08/18 21:44:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,0.9,-6.34,-53.57,
2019/08/18 21:44:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.0,0.8,-6.28,-53.45,
2019/08/18 21:44:48,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,2,0.0,0.8,-6.26,-53.45,
2019/08/18 22:34:36,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,11,0.0,1.0,-7.87,-54.8,
2019/08/18 22:34:36,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,11,0.0,1.0,-7.87,-54.84,
2019/08/18 22:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,1.0,-7.85,-54.78,
2019/08/18 22:34:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,63,0.0,1.0,-8.67,-54.6,
2019/08/18 22:34:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,63,0.0,1.0,-8.67,-54.62,
2019/08/18 22:34:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,69,0.0,1.0,-8.65,-54.63,
2019/08/18 22:14:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,11,0.0,1.0,-7.87,-54.84,
2019/08/18 22:14:50,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,0.8,-5.93,-53.49,
2019/08/18 22:14:50,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,12,0.0,0.8,-5.95,-53.47,
2019/08/18 23:44:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,10,0.0,1.0,-7.88,-54.76,
2019/08/19 14:54:43,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,31,0.0,1.0,-6.86,-55.02,
2019/08/19 05:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,11,0.0,1.0,-7.88,-54.78,
